Name,Season,Position,Wins,Losses,GoalsScored,GoalsConceded,CleanSheets,Shots,ShotsOnTarget,PenaltiesScored,Saves,Passes,PassAccuracy,Tackles,TacklesSuccess,BlockedShots,Clearances,Interceptions,Crosses,AerialDuels%,OwnGoals,YellowCards,RedCards,Offsides,
Alaves,2021-22,20.00,8.00,23.00,31.00,65.00,6.00,373.00,111.00,6.00,100.00,9070.00,0.68,501.00,0.64,95.00,822.00,375.00,758.00,0.55,0.00,93.00,4.00,72.00,
Alaves,2020-21,16.00,9.00,18.00,36.00,57.00,9.00,339.00,95.00,5.00,85.00,10216.00,0.71,499.00,0.59,90.00,766.00,427.00,645.00,0.58,0.00,96.00,8.00,73.00,
Alaves,2019-20,16.00,10.00,19.00,34.00,59.00,9.00,307.00,98.00,6.00,99.00,9612.00,0.69,579.00,0.60,114.00,766.00,392.00,562.00,0.56,0.00,111.00,7.00,61.00,
Alaves,2018-19,11.00,13.00,14.00,39.00,50.00,8.00,426.00,116.00,2.00,119.00,9631.00,0.69,646.00,0.60,117.00,1066.00,390.00,729.00,0.49,2.00,101.00,1.00,58.00,
Almeria,2022-23,17.00,11.00,19.00,49.00,43.00,4.00,439.00,155.00,2.00,138.00,12151.00,0.77,557.00,0.58,122.00,855.00,322.00,605.00,0.48,1.00,98.00,4.00,83.00,
Athletic Club,2022-23,8.00,14.00,15.00,47.00,43.00,11.00,541.00,157.00,5.00,83.00,14440.00,0.78,608.00,0.61,95.00,598.00,310.00,918.00,0.52,3.00,81.00,5.00,96.00,
Athletic Club,2021-22,8.00,14.00,11.00,43.00,36.00,13.00,460.00,150.00,3.00,96.00,12947.00,0.75,508.00,0.57,128.00,788.00,339.00,798.00,0.51,1.00,90.00,4.00,89.00,
Athletic Club,2020-21,10.00,11.00,14.00,46.00,42.00,9.00,399.00,128.00,4.00,69.00,13578.00,0.76,462.00,0.58,74.00,684.00,344.00,812.00,0.52,1.00,82.00,3.00,77.00,
Athletic Club,2019-20,11.00,13.00,13.00,41.00,38.00,14.00,490.00,150.00,8.00,103.00,12533.00,0.74,533.00,0.72,92.00,755.00,435.00,908.00,0.57,2.00,108.00,3.00,93.00,
Athletic Club,2018-19,8.00,13.00,11.00,41.00,45.00,10.00,380.00,132.00,5.00,75.00,13195.00,0.75,643.00,0.60,93.00,815.00,453.00,728.00,0.56,0.00,120.00,4.00,74.00,
Atletico Madrid,2022-23,3.00,23.00,7.00,70.00,33.00,13.00,538.00,195.00,1.00,95.00,16814.00,0.82,667.00,0.61,103.00,704.00,304.00,625.00,0.53,0.00,92.00,8.00,79.00,
Atletico Madrid,2021-22,3.00,21.00,9.00,65.00,43.00,12.00,458.00,152.00,4.00,65.00,15076.00,0.79,636.00,0.54,98.00,649.00,365.00,703.00,0.51,3.00,111.00,7.00,85.00,
Atletico Madrid,2020-21,1.00,26.00,4.00,67.00,25.00,18.00,452.00,178.00,5.00,98.00,16757.00,0.81,622.00,0.59,83.00,671.00,386.00,597.00,0.52,3.00,100.00,0.00,96.00,
Atletico Madrid,2019-20,3.00,18.00,4.00,51.00,27.00,17.00,440.00,136.00,6.00,88.00,13595.00,0.77,658.00,0.62,108.00,729.00,412.00,574.00,0.53,3.00,93.00,2.00,116.00,
Atletico Madrid,2018-19,2.00,22.00,6.00,55.00,29.00,20.00,440.00,155.00,3.00,109.00,14943.00,0.79,784.00,0.62,94.00,837.00,463.00,590.00,0.54,2.00,103.00,5.00,80.00,
Barcelona,2022-23,1.00,28.00,6.00,70.00,20.00,29.00,570.00,187.00,0.00,127.00,21293.00,0.86,522.00,0.62,353.00,439.00,253.00,744.00,0.57,3.00,84.00,6.00,98.00,
Barcelona,2021-22,2.00,21.00,7.00,68.00,38.00,11.00,511.00,177.00,6.00,84.00,21489.00,0.86,587.00,0.56,346.00,467.00,325.00,798.00,0.53,0.00,97.00,5.00,99.00,
Barcelona,2020-21,3.00,24.00,7.00,85.00,38.00,14.00,575.00,231.00,4.00,94.00,25192.00,0.88,499.00,0.59,325.00,429.00,361.00,494.00,0.56,2.00,72.00,2.00,90.00,
Barcelona,2019-20,2.00,25.00,6.00,86.00,38.00,15.00,488.00,213.00,6.00,80.00,24758.00,0.88,536.00,0.60,313.00,529.00,342.00,417.00,0.56,0.00,92.00,6.00,83.00,
Barcelona,2018-19,1.00,26.00,3.00,90.00,36.00,17.00,551.00,242.00,8.00,95.00,23263.00,0.87,537.00,0.64,360.00,565.00,391.00,394.00,0.55,1.00,77.00,2.00,102.00,
Cadiz,2022-23,14.00,10.00,16.00,30.00,53.00,13.00,390.00,108.00,4.00,148.00,9883.00,0.71,617.00,0.66,128.00,850.00,270.00,633.00,0.48,0.00,116.00,7.00,75.00,
Cadiz,2021-22,17.00,8.00,15.00,35.00,51.00,13.00,405.00,118.00,3.00,117.00,10136.00,0.70,647.00,0.59,106.00,768.00,413.00,865.00,0.46,0.00,105.00,3.00,69.00,
