Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats,Gender
Erling Haaland,Manchester City,Norway,Premier League,97,ST,CF,TOTY,Controlled Lengthy,4950000.0,0.98%,4,5,H,M,96.0,98,80,91,56,97,"195cm | 6'5""",Unique  (94kg),1615,518,2481,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,97,ST,"CF,LW",TOTY,Controlled Explosive,12980000.0,6.28%,5,4,H,L,99.0,96,88,97,47,88,"182cm | 6'0""",Unique  (75kg),1621,515,2465,Male
Lionel Messi,Inter Miami CF,Argentina,MLS,97,CF,"CAM,RW,ST",TOTY,Mostly Explosive,5700000.0,2.70%,5,4,M,L,91.0,96,97,98,40,77,"169cm | 5'7""",Messi  (67kg),-4848,499,2430,Male
Pelé,EA FC ICONS,Brazil,Icons,97,CAM,"CF,ST",FUT Birthday Icon,Mostly Explosive,9250000.0,2.63%,5,5,H,M,95.0,96,92,96,60,81,"173cm | 5'8""",Unique  (70kg),231,520,2532,Male
Johan Cruyff,EA FC ICONS,Holland,Icons,97,CF,ST,Golazo Icon,Mostly Explosive,6140000.0,0.57%,5,5,H,L,93.0,95,93,97,50,80,"180cm | 5'11""",Avg & Lean  (71kg),89,508,2460,Male
Pelé,EA FC ICONS,Brazil,Icons,96,ST,"CAM,CF",Winter Wildcard ICON,Mostly Explosive,3290000.0,4.95%,5,4,H,M,94.0,95,90,95,59,80,"173cm | 5'8""",Unique  (70kg),1084,513,2497,Male
Kevin De Bruyne,Manchester City,Belgium,Premier League,96,CM,CAM,TOTY,Controlled,1810000.0,1.90%,4,5,H,M,85.0,93,98,92,80,84,"181cm | 5'11""",Unique  (75kg),1379,532,2558,Male
Jude Bellingham,Real Madrid,England,LALIGA EA SPORTS,96,CM,"CDM,CAM",TOTY,Controlled,4250000.0,3.68%,4,4,H,H,90.0,88,90,96,90,91,"186cm | 6'1""",Tall & Lean  (75kg),2406,545,2577,Male
Virgil van Dijk,Liverpool,Holland,Premier League,96,CB,0,TOTY,Lengthy,10500000.0,0.11%,3,3,M,H,88.0,68,82,82,96,93,"193cm | 6'4""",Unique  (92kg),994,509,2398,Male
Zinedine Zidane,EA FC ICONS,France,Icons,96,CM,CAM,Future Stars Icon,Controlled Lengthy,2980000.0,4.46%,5,5,H,M,85.0,92,97,96,78,86,"185cm | 6'1""",Tall & Normal  (77kg),499,534,2592,Male
Ferenc Puskás,EA FC ICONS,Hungary,Icons,96,CF,ST,Golazo Icon,Mostly Explosive,2440000.0,1.25%,4,4,H,M,94.0,98,94,95,50,80,"172cm | 5'8""",Avg & Stocky  (72kg),464,511,2490,Male
Pelé,EA FC ICONS,Brazil,Icons,95,CAM,"CF,ST",Icon,Mostly Explosive,1390000.0,0.79%,5,4,H,M,93.0,94,91,94,58,74,"173cm | 5'8""",Unique  (70kg),1182,504,2458,Male
Johan Cruyff,EA FC ICONS,Holland,Icons,95,CF,ST,Thunderstruck Icon,Mostly Explosive,2600000.0,2.99%,5,5,H,L,92.0,93,92,95,46,77,"180cm | 5'11""",Avg & Lean  (71kg),1273,495,2392,Male
Zinedine Zidane,EA FC ICONS,France,Icons,95,CAM,CM,Dynasties ICON,Controlled Lengthy,1700000.0,5.45%,5,5,M,M,84.0,91,95,95,76,85,"185cm | 6'1""",Unique  (77kg),746,526,2539,Male
Ronaldo,EA FC ICONS,Brazil,Icons,95,ST,CF,TOTY Icon,Controlled,9530000.0,3.59%,5,5,H,M,95.0,95,81,95,44,77,"183cm | 6'0""",R9  (78kg),1702,487,2335,Male
Rodri,Manchester City,Spain,Premier League,95,CDM,CM,TOTY,Mostly Lengthy,1300000.0,4.34%,4,4,M,H,88.0,84,88,90,95,93,"191cm | 6'3""",Tall & Normal  (82kg),1472,538,2539,Male
Alisson,Liverpool,Brazil,Premier League,95,GK,0,TOTY,Mostly Lengthy,615000.0,1.44%,2,3,M,M,93.0,92,92,95,64,96,"193cm | 6'4""",Unique  (91kg),467,532,1118,Male
Rúben Dias,Manchester City,Portugal,Premier League,95,CB,0,TOTY,Mostly Lengthy,1690000.0,10.86%,3,4,M,H,88.0,45,81,83,95,93,"187cm | 6'2""",Tall & Normal  (82kg),780,485,2243,Male
Cristiano Ronaldo,Al Nassr,Portugal,ROSHN Saudi League,95,ST,CF,TOTY,Controlled,6100000.0,5.54%,5,4,H,L,92.0,97,85,93,45,83,"187cm | 6'2""",CR7  (85kg),5305,495,2432,Male
Ronaldinho,EA FC ICONS,Brazil,Icons,95,CAM,"CF,LW",Future Stars Icon,Mostly Explosive,6950000.0,0.57%,5,4,H,M,94.0,91,94,98,40,84,"180cm | 5'11""",Ronaldinho  (76kg),1198,501,2402,Male
Zinedine Zidane,EA FC ICONS,France,Icons,94,CAM,CM,Icon,Controlled Lengthy,706000.0,0.86%,5,5,M,M,83.0,90,94,94,73,84,"185cm | 6'1""",Unique  (77kg),1173,518,2499,Male
Ronaldo,EA FC ICONS,Brazil,Icons,94,ST,CF,Icon,Controlled,3190000.0,2.41%,5,5,M,M,94.0,94,79,94,43,75,"183cm | 6'0""",R9  (78kg),1807,479,2296,Male
Erling Haaland,Manchester City,Norway,Premier League,94,ST,CF,Champions League,Mostly Lengthy,567000.0,3.74%,4,3,H,M,93.0,96,71,86,48,92,"195cm | 6'5""",Unique  (94kg),1198,486,2316,Male
Robert Lewandowski,FC Barcelona,Poland,LALIGA EA SPORTS,94,ST,CF,Champions League,Controlled Lengthy,159000.0,0.63%,4,4,H,M,83.0,95,85,92,49,88,"185cm | 6'1""",Unique  (81kg),2170,492,2401,Male
Ronaldinho,EA FC ICONS,Brazil,Icons,94,LW,"LM,CAM",Thunderstruck Icon,Controlled Explosive,3800000.0,35.46%,5,4,H,L,92.0,90,92,96,39,82,"180cm | 5'11""",Ronaldinho  (78kg),1216,491,2350,Male
Ferenc Puskás,EA FC ICONS,Hungary,Icons,94,CF,ST,Thunderstruck Icon,Mostly Explosive,1300000.0,16.49%,4,3,H,M,92.0,96,92,93,47,78,"172cm | 5'8""",Avg & Stocky  (72kg),844,498,2426,Male
Müller,EA FC ICONS,Germany,Icons,94,ST,CF,Thunderstruck Icon,Controlled Explosive,514000.0,20.94%,4,4,H,M,89.0,95,78,87,47,77,"176cm | 5'9""",Avg & Stocky  (74kg),1274,473,2315,Male
Erling Haaland,Manchester City,Norway,Premier League,94,ST,CF,Dynasties,Mostly Lengthy,739000.0,7.04%,4,3,H,M,93.0,96,72,86,53,94,"195cm | 6'5""",Unique  (94kg),490,494,2355,Male
Theo Hernández,Milan,France,Serie A TIM,94,LB,"LWB,LM",TOTY,Controlled,3200000.0,32.01%,4,4,H,H,98.0,82,87,89,88,92,"184cm | 6'0""",Unique  (81kg),381,536,2521,Male
Jeremie Frimpong,Leverkusen,Holland,Bundesliga,94,RWB,"RB,RM",TOTY,Explosive,1500000.0,3.10%,4,4,H,H,99.0,80,89,95,88,84,"171cm | 5'7""",Avg & Normal  (64kg),1322,535,2487,Male
Paolo Maldini,EA FC ICONS,Italy,Icons,94,CB,"LB,LWB",Future Stars Icon,Mostly Lengthy,2370000.0,7.72%,2,4,M,H,89.0,57,78,72,97,85,"186cm | 6'1""",Tall & Lean  (77kg),663,478,2216,Male
Ousmane Dembélé,Paris SG,France,Ligue 1 Uber Eats,94,ST,"RM,RW,LW",Fantasy FC,Mostly Explosive,2990000.0,3.08%,5,5,H,M,99.0,90,91,96,48,71,"178cm | 5'10""",Unique  (67kg),19,495,2374,Male
Wesley Sneijder,HERO,Holland,LALIGA EA SPORTS,94,CAM,"CM,LM",Fantasy FC Hero,Controlled Explosive,1500000.0,2.28%,5,5,H,M,90.0,91,96,92,62,85,"171cm | 5'7""",Avg & Normal  (67kg),404,516,2490,Male
Lionel Messi,Inter Miami CF,Argentina,MLS,94,CF,"CAM,ST",FUT Birthday,Explosive,4000000.0,2.44%,5,5,H,L,87.0,92,93,97,37,70,"169cm | 5'7""",Messi  (67kg),356,476,2338,Male
Thierry Henry,EA FC ICONS,France,Icons,94,ST,"CF,LW",FUT Birthday Icon,Controlled,4010000.0,2.27%,5,4,H,M,97.0,93,86,93,55,84,"188cm | 6'2""",Tall & Normal  (83kg),250,508,2436,Male
Ruud Gullit,EA FC ICONS,Holland,Icons,94,CF,"CM,CAM,ST",FUT Birthday Icon,Controlled Lengthy,11600000.0,2.65%,5,5,H,H,91.0,92,93,91,86,91,"191cm | 6'3""",Unique  (88kg),517,544,2632,Male
Thierry Henry,EA FC ICONS,France,Icons,94,ST,"CF,LW",FUT Birthday Icon,Controlled,4400000.0,1.03%,4,5,H,M,97.0,93,86,93,55,84,"188cm | 6'2""",Tall & Normal  (83kg),223,508,2436,Male
Mohamed Salah,Liverpool,Egypt,Premier League,94,ST,"RM,CF,RW",FUT Birthday,Mostly Explosive,2650000.0,2.40%,4,5,H,M,93.0,92,90,94,52,84,"175cm | 5'9""",Salah  (71kg),151,505,2440,Male
Mohamed Salah,Liverpool,Egypt,Premier League,94,ST,"RM,CF,RW",FUT Birthday,Mostly Explosive,2500000.0,2.34%,5,4,H,M,93.0,92,90,94,52,84,"175cm | 5'9""",Salah  (71kg),129,505,2440,Male
Hristo Stoichkov,EA FC ICONS,Bulgaria,Icons,94,ST,"CF,RW,LW",FUT Birthday Icon,Controlled Explosive,2980000.0,1.36%,5,5,H,M,95.0,94,91,94,53,87,"178cm | 5'10""",Avg & Normal  (73kg),402,514,2485,Male
Andrea Pirlo,EA FC ICONS,Italy,Icons,94,CM,CDM,FUT Birthday Icon,Controlled Explosive,2890000.0,0.03%,5,5,H,H,87.0,92,99,95,85,82,"177cm | 5'10""",Avg & Lean  (67kg),496,540,2625,Male
Charlton,EA FC ICONS,England,Icons,94,CAM,CF,Golazo Icon,Explosive,867000.0,0.80%,4,5,H,M,92.0,93,90,94,53,77,0,Avg & Normal  (72kg),744,499,2442,Male
Marcos Cafú,EA FC ICONS,Brazil,Icons,94,RWB,"RB,RM",Golazo Icon,Controlled,880000.0,5.52%,5,4,H,H,94.0,80,87,91,92,86,"176cm | 5'9""",Avg & Normal  (75kg),638,530,2522,Male
Jairzinho,EA FC ICONS,Brazil,Icons,94,RW,"RM,ST",Golazo Icon,Controlled Explosive,2820000.0,1.37%,5,4,H,H,96.0,94,91,95,55,79,"173cm | 5'8""",Avg & Normal  (74kg),297,510,2449,Male
Nemanja Vidic,EA FC ICONS,Serbia,Icons,94,CB,0,Golazo Icon,Lengthy,599000.0,0.17%,3,5,M,H,85.0,80,72,68,96,95,"190cm | 6'3""",Tall & Normal  (84kg),639,496,2379,Male
Didier Drogba,EA FC ICONS,Côte d'Ivoire,Icons,94,ST,CF,Golazo Icon,Mostly Lengthy,481000.0,1.26%,4,5,H,H,92.0,95,80,88,49,94,"189cm | 6'2""",Tall & Normal  (88kg),710,498,2399,Male
Ronaldinho,EA FC ICONS,Brazil,Icons,93,LW,"LM,CAM",Icon,Controlled Explosive,1500000.0,0.66%,5,4,H,L,91.0,89,90,95,38,80,"180cm | 5'11""",Ronaldinho  (78kg),1488,483,2311,Male
Johan Cruyff,EA FC ICONS,Holland,Icons,93,CF,ST,Icon,Mostly Explosive,810000.0,1.63%,5,5,H,L,90.0,91,90,93,42,73,"180cm | 5'11""",Avg & Lean  (71kg),1428,479,2315,Male
Luka Modric,Real Madrid,Croatia,LALIGA EA SPORTS,93,CM,0,Champions League,Explosive,108000.0,3.57%,4,4,M,M,82.0,84,94,93,83,75,"172cm | 5'8""",Avg & Lean  (66kg),8062,511,2519,Male
Thierry Henry,EA FC ICONS,France,Icons,93,ST,"CF,LW",Thunderstruck Icon,Controlled,1280000.0,4.71%,4,4,M,M,95.0,92,85,91,54,82,"188cm | 6'2""",Tall & Normal  (83kg),1182,499,2380,Male
Paolo Maldini,EA FC ICONS,Italy,Icons,93,CB,LB,Dynasties ICON,Mostly Lengthy,1150000.0,5.04%,2,4,M,H,87.0,56,76,70,96,84,"186cm | 6'1""",Avg & Normal  (83kg),602,469,2163,Male
Harry Kane,FC Bayern München,England,Bundesliga,93,ST,CF,UCL TOTGS,Mostly Lengthy,148750.0,5.04%,3,5,H,H,80.0,96,88,88,52,87,"188cm | 6'2""",Unique  (89kg),2085,491,2394,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,93,LW,"CF,ST",UCL TOTGS,Mostly Explosive,2860000.0,1.06%,5,4,H,L,98.0,92,84,94,40,81,"182cm | 6'0""",Unique  (75kg),64,489,2333,Male
Kylian Mbappé,Paris SG,France,Ligue 1 Uber Eats,93,ST,"CF,LW",Ligue 1 POTM SBC,Mostly Explosive,4450000.0,1.06%,5,4,H,L,98.0,92,83,94,39,80,"182cm | 6'0""",Unique  (75kg),-2453,486,2319,Male
Lev Yashin,EA FC ICONS,Russia,Icons,93,CB,0,Winter Wildcard ICON,Controlled,477000.0,2.45%,2,3,M,H,85.0,60,71,76,88,91,"189cm | 6'2""",Tall & Normal  (82kg),982,471,2276,Male
Mané Garrincha,EA FC ICONS,Brazil,Icons,93,RW,RM,Winter Wildcard ICON,Explosive,625000.0,5.75%,5,4,H,L,90.0,86,93,96,41,68,"169cm | 5'7""",Short & Normal  (72kg),860,474,2299,Male
Neymar Jr,Al Hilal,Brazil,ROSHN Saudi League,93,LW,LM,Versus Ice,Explosive,1230000.0,1.92%,5,5,H,M,91.0,87,90,97,41,66,"175cm | 5'9""",Neymar  (68kg),528,472,2329,Male
Neymar Jr,Al Hilal,Brazil,ROSHN Saudi League,93,ST,CF,Versus Fire,Explosive,1510000.0,5.57%,5,5,H,M,89.0,90,89,96,41,68,"175cm | 5'9""",Neymar  (68kg),49,473,2341,Male
Bruno Fernandes,Manchester Utd,Portugal,Premier League,93,CAM,CM,Flashback SBC,Mostly Explosive,823700.0,5.57%,4,4,H,H,82.0,92,94,88,80,82,"179cm | 5'10""",Unique  (69kg),5596,518,2546,Male
George Best,EA FC ICONS,Northern Ireland,Icons,93,RW,"RM,CAM,LW",TOTY Icon SBC,Explosive,1580000.0,5.57%,5,4,H,M,93.0,91,86,94,61,73,"175cm | 5'9""",Avg & Lean  (65kg),8205,498,2400,Male
Petr Cech,EA FC ICONS,Czech Republic,Icons,93,GK,0,TOTY Icon,Controlled Lengthy,300000.0,2.60%,2,3,M,M,91.0,90,83,93,62,94,"196cm | 6'5""",Tall & Normal  (90kg),1737,513,1120,Male
Patrick Vieira,EA FC ICONS,France,Icons,93,CM,CDM,TOTY Icon,Controlled Lengthy,3230000.0,0.94%,4,4,M,H,87.0,84,86,88,92,94,"192cm | 6'4""",Tall & Lean  (83kg),949,531,2500,Male
Rio Ferdinand,EA FC ICONS,England,Icons,93,CB,0,TOTY Icon,Mostly Lengthy,2500000.0,17.26%,3,3,M,H,87.0,53,70,77,93,90,"189cm | 6'2""",Unique  (87kg),795,470,2187,Male
Lothar Matthäus,EA FC ICONS,Germany,Icons,93,CM,"CB,CDM",TOTY Icon,Controlled,1970000.0,6.15%,4,4,H,H,91.0,90,91,84,93,85,"174cm | 5'9""",Avg & Normal  (71kg),760,534,2584,Male
Harry Kane,FC Bayern München,England,Bundesliga,93,ST,CF,TOTY Honourable Ment,Mostly Lengthy,58000.0,2.65%,4,5,H,H,80.0,96,88,88,52,87,"188cm | 6'2""",Unique  (89kg),334,491,2394,Male
Luka Modric,Real Madrid,Croatia,LALIGA EA SPORTS,93,CM,CDM,TOTY Honourable Ment,Explosive,900500.0,2.65%,4,4,M,M,82.0,84,94,93,83,75,"172cm | 5'8""",Avg & Lean  (66kg),-14854,511,2514,Male
Rafael Leão,Milan,Portugal,Serie A TIM,93,LW,"LM,CF,ST",UEL RTTF,Controlled,1490000.0,0.68%,4,4,M,L,98.0,89,86,95,37,85,"188cm | 6'2""",Tall & Normal  (81kg),551,490,2319,Male
Erling Haaland,Manchester City,Norway,Premier League,93,ST,CF,SIF,Mostly Lengthy,304000.0,5.00%,3,3,H,M,91.0,95,70,84,47,90,"195cm | 6'5""",Unique  (94kg),212,477,2275,Male
Antunes Coimbra,EA FC ICONS,Brazil,Icons,93,CAM,"CM,CF",Future Stars Icon,Mostly Explosive,2010000.0,1.52%,5,5,H,M,91.0,94,93,93,70,75,0,Avg & Normal  (71kg),528,516,2499,Male
Ferland Mendy,Real Madrid,France,LALIGA EA SPORTS,93,LB,LWB,Fantasy FC,Controlled,4750000.0,2.46%,4,5,H,H,99.0,87,89,88,87,95,"180cm | 5'11""",Unique  (73kg),-443,545,2553,Male
Bixente Lizarazu,HERO,France,Bundesliga,93,LWB,LB,Fantasy FC Hero,Controlled,375000.0,1.35%,3,3,H,H,94.0,67,87,88,89,88,"169cm | 5'7""",Short & Normal  (70kg),383,513,2451,Male
Declan Rice,Arsenal,England,Premier League,93,CDM,CM,Fantasy FC,Mostly Lengthy,859000.0,3.91%,4,4,M,H,90.0,79,88,88,93,93,"185cm | 6'1""",Tall & Normal  (80kg),951,531,2497,Male
Luis Díaz,Liverpool,Colombia,Premier League,93,LW,LM,Fantasy FC,Mostly Explosive,1280000.0,5.96%,4,4,H,M,99.0,91,88,97,47,86,"180cm | 5'11""",Unique  (73kg),407,508,2407,Male
Harry Kane,FC Bayern München,England,Bundesliga,93,ST,CF,TIF,Mostly Lengthy,55000.0,5.96%,3,5,H,H,80.0,96,89,88,52,87,"188cm | 6'2""",Unique  (89kg),82,492,2397,Male
Karim Benzema,Al Ittihad,France,ROSHN Saudi League,93,CF,ST,FUT Birthday,Controlled,346000.0,5.96%,5,4,H,M,90.0,91,86,92,42,82,"185cm | 6'1""",Avg & Normal  (81kg),299,483,2326,Male
Karim Benzema,Al Ittihad,France,ROSHN Saudi League,93,CF,ST,FUT Birthday,Controlled,359000.0,2.57%,4,5,H,M,90.0,91,86,92,42,82,"185cm | 6'1""",Avg & Normal  (81kg),290,483,2326,Male
Kevin De Bruyne,Manchester City,Belgium,Premier League,93,CM,CAM,FUT Birthday,Controlled,1190000.0,3.76%,5,5,H,M,82.0,91,96,90,77,81,"181cm | 5'11""",Unique  (75kg),222,517,2486,Male
Dennis Bergkamp,EA FC ICONS,Holland,Icons,93,CAM,"CF,ST",FUT Birthday Icon,Controlled,158000.0,2.60%,5,4,H,M,87.0,92,88,92,38,80,"183cm | 6'0""",Avg & Normal  (78kg),131,477,2331,Male
Dennis Bergkamp,EA FC ICONS,Holland,Icons,93,CAM,"CF,ST",FUT Birthday Icon,Controlled,157000.0,7.53%,4,5,H,M,87.0,92,88,92,38,80,"183cm | 6'0""",Avg & Normal  (78kg),131,477,2331,Male
Carlos Alberto Torres,EA FC ICONS,Brazil,Icons,93,RB,"RWB,CB",FUT Birthday Icon,Controlled,1220000.0,7.11%,5,4,H,H,91.0,66,85,87,90,88,"180cm | 5'11""",Avg & Normal  (76kg),128,507,2374,Male
Carlos Alberto Torres,EA FC ICONS,Brazil,Icons,93,RB,"RWB,CB",FUT Birthday Icon,Controlled,1440000.0,4.35%,4,5,H,H,91.0,66,85,87,90,88,"180cm | 5'11""",Avg & Normal  (76kg),153,507,2374,Male
Sadio Mané,Al Nassr,Senegal,ROSHN Saudi League,93,LM,"CF,ST,LW",FUT Birthday,Mostly Explosive,489000.0,1.45%,4,5,H,M,94.0,90,86,93,55,84,"174cm | 5'9""",Unique  (69kg),113,502,2404,Male
Sadio Mané,Al Nassr,Senegal,ROSHN Saudi League,93,LM,"CF,ST,LW",FUT Birthday,Mostly Explosive,490000.0,8.41%,5,4,H,M,94.0,90,86,93,55,84,"174cm | 5'9""",Unique  (69kg),120,502,2404,Male
Frenkie de Jong,FC Barcelona,Holland,LALIGA EA SPORTS,93,CM,0,FUT Birthday,Controlled Explosive,667000.0,3.33%,4,5,H,H,88.0,83,91,93,87,86,"181cm | 5'11""",Unique  (74kg),715,528,2529,Male
Raúl González Blanco,EA FC ICONS,Spain,Icons,93,CF,ST,FUT Birthday Icon,Controlled Explosive,850000.0,5.03%,5,5,H,M,91.0,94,88,91,48,80,"180cm | 5'11""",Avg & Lean  (68kg),327,492,2387,Male
Dimitar Berbatov,HERO,Bulgaria,Premier League,93,ST,CF,Golazo Hero,Controlled,137000.0,0.72%,5,4,H,M,91.0,92,87,93,40,82,"189cm | 6'2""",Tall & Lean  (75kg),1616,485,2355,Male
Saeed Al Owairan,HERO,Saudi Arabia,ROSHN Saudi League,93,RW,"RM,CAM,ST",Golazo Hero,Controlled,750000.0,0.67%,5,4,H,M,99.0,88,87,92,43,82,"184cm | 6'0""",Avg & Lean  (76kg),542,491,2351,Male
Xabi Alonso,EA FC ICONS,Spain,Icons,93,CDM,CM,Golazo Icon,Controlled,413000.0,4.18%,4,4,H,H,85.0,86,93,90,90,90,"183cm | 6'0""",Avg & Normal  (77kg),1080,534,2570,Male
